dataset_name,alg_name,hparam_source,trial_number,alg_hparam_id,exception
openml__Bioresponse__9910,CatBoost,default,0,CatBoost__seed_0__trial_0,"Traceback (most recent call last):
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_experiment.py"", line 151, in __call__
    result = cross_validation(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_utils.py"", line 224, in cross_validation
    raise TimeoutException(
tabzilla_utils.TimeoutException: time limit of 10s reached during fold 7
"
openml__Bioresponse__9910,CatBoost,random_1_s0,1,CatBoost__seed_0__trial_1,"Traceback (most recent call last):
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_experiment.py"", line 151, in __call__
    result = cross_validation(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_utils.py"", line 224, in cross_validation
    raise TimeoutException(
tabzilla_utils.TimeoutException: time limit of 10s reached during fold 7
"
openml__Bioresponse__9910,CatBoost,random_2_s0,2,CatBoost__seed_0__trial_2,"Traceback (most recent call last):
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_experiment.py"", line 151, in __call__
    result = cross_validation(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_utils.py"", line 224, in cross_validation
    raise TimeoutException(
tabzilla_utils.TimeoutException: time limit of 10s reached during fold 8
"
openml__Bioresponse__9910,MLP,default,0,MLP__seed_0__trial_0,"Traceback (most recent call last):
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_experiment.py"", line 151, in __call__
    result = cross_validation(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_utils.py"", line 224, in cross_validation
    raise TimeoutException(
tabzilla_utils.TimeoutException: time limit of 10s reached during fold 2
"
openml__Bioresponse__9910,MLP,random_1_s0,1,MLP__seed_0__trial_1,"Traceback (most recent call last):
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_experiment.py"", line 151, in __call__
    result = cross_validation(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_utils.py"", line 224, in cross_validation
    raise TimeoutException(
tabzilla_utils.TimeoutException: time limit of 10s reached during fold 2
"
openml__Bioresponse__9910,MLP,random_2_s0,2,MLP__seed_0__trial_2,"Traceback (most recent call last):
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_experiment.py"", line 151, in __call__
    result = cross_validation(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_utils.py"", line 224, in cross_validation
    raise TimeoutException(
tabzilla_utils.TimeoutException: time limit of 10s reached during fold 2
"
openml__SpeedDating__146607,CatBoost,default,0,CatBoost__seed_0__trial_0,"Traceback (most recent call last):
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_experiment.py"", line 151, in __call__
    result = cross_validation(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_utils.py"", line 247, in cross_validation
    processed_data = process_data(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_data_processing.py"", line 162, in process_data
    X_train, y_train = inject_missing_values(X_train, y_train, inject_missing, num_mask)
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_data_processing.py"", line 123, in inject_missing_values
    X_missing[:, num_idx] = X_missing[:, num_idx].astype(float)
UnboundLocalError: local variable 'num_idx' referenced before assignment
"
openml__SpeedDating__146607,CatBoost,random_1_s0,1,CatBoost__seed_0__trial_1,"Traceback (most recent call last):
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_experiment.py"", line 151, in __call__
    result = cross_validation(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_utils.py"", line 247, in cross_validation
    processed_data = process_data(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_data_processing.py"", line 162, in process_data
    X_train, y_train = inject_missing_values(X_train, y_train, inject_missing, num_mask)
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_data_processing.py"", line 123, in inject_missing_values
    X_missing[:, num_idx] = X_missing[:, num_idx].astype(float)
UnboundLocalError: local variable 'num_idx' referenced before assignment
"
openml__SpeedDating__146607,CatBoost,random_10_s0,10,CatBoost__seed_0__trial_10,"Traceback (most recent call last):
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_experiment.py"", line 151, in __call__
    result = cross_validation(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_utils.py"", line 247, in cross_validation
    processed_data = process_data(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_data_processing.py"", line 162, in process_data
    X_train, y_train = inject_missing_values(X_train, y_train, inject_missing, num_mask)
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_data_processing.py"", line 123, in inject_missing_values
    X_missing[:, num_idx] = X_missing[:, num_idx].astype(float)
UnboundLocalError: local variable 'num_idx' referenced before assignment
"
openml__SpeedDating__146607,CatBoost,random_11_s0,11,CatBoost__seed_0__trial_11,"Traceback (most recent call last):
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_experiment.py"", line 151, in __call__
    result = cross_validation(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_utils.py"", line 247, in cross_validation
    processed_data = process_data(
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_data_processing.py"", line 162, in process_data
    X_train, y_train = inject_missing_values(X_train, y_train, inject_missing, num_mask)
  File ""/home/al3615/projects/tabzilla/TabZilla/tabzilla_data_processing.py"", line 123, in inject_missing_values
    X_missing[:, num_idx] = X_missing[:, num_idx].astype(float)
UnboundLocalError: local variable 'num_idx' referenced before assignment
"
