dataset_fold_id,dataset_name,target_type,alg_name,hparam_source,trial_number,alg_hparam_id,time__train,MSE__train,R2__train,time__val,MSE__val,R2__val,time__test,MSE__test,R2__test,time__train-eval
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_1_s0,1,CatBoost__seed_0__trial_1,54.200719668000005,2329.8266116726095,0.69769859135459,1.9514914060000024,2318.121379879728,0.6929184444787542,1.6535390330000013,2480.760438826805,0.6865631895687407,13.711082308000002
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_10_s0,10,CatBoost__seed_0__trial_10,22.86242637599935,2535.0146917059337,0.671074873812455,0.9101935509997929,2464.847462317663,0.6734816393046794,0.8199708310003189,2648.6234702950933,0.6653541875428841,5.56980404099977
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_11_s0,11,CatBoost__seed_0__trial_11,24.171539398999812,2645.550392791264,0.6567325626823944,0.5385871200005568,2560.9736669918298,0.6607478002943907,0.7604072719996111,2761.6195581797783,0.6510774630258908,5.575872940000409
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_12_s0,12,CatBoost__seed_0__trial_12,70.42677921700033,2344.510963563791,0.6957932563225714,1.8629356940000434,2325.6186839001452,0.6919252765623594,1.7527985429996988,2490.806505107157,0.6852938985388564,14.892447877999984
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_13_s0,13,CatBoost__seed_0__trial_13,37.331947527998636,2445.8043091152044,0.6826501662345861,0.9954588889995648,2386.290446467657,0.6838880877476763,1.2113699009987613,2565.9348173370795,0.6758016564868319,6.7919152039994515
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_14_s0,14,CatBoost__seed_0__trial_14,69.15726968799936,2317.555497970846,0.6992908020964135,2.110571291999804,2311.8832774616,0.6937448059500242,2.149019266000323,2473.841786477579,0.6874373410147585,16.34115534800003
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_15_s0,15,CatBoost__seed_0__trial_15,31.491989151998496,2432.3092860429447,0.6844011825823295,1.0480740660004813,2380.1911346571314,0.6846960636261794,0.9380757300004916,2557.0018790279028,0.6769303070600938,7.0651532170013525
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_16_s0,16,CatBoost__seed_0__trial_16,40.17570735799927,2424.273059728147,0.6854439050420118,1.114501416001076,2369.155839991582,0.6861579091882561,1.1733919970010902,2546.614160603384,0.6782427648370242,7.915319753999938
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_17_s0,17,CatBoost__seed_0__trial_17,42.865300736999416,2413.4911731268694,0.6868428844729668,1.2339963670001453,2361.0892528652585,0.6872264900417002,1.265161645000262,2535.7590307116,0.679614278682878,8.947577389999424
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_18_s0,18,CatBoost__seed_0__trial_18,48.072508226001446,2383.9115070981507,0.6906809274685024,1.394561557999623,2342.028912882773,0.689751413413439,1.293059073999757,2514.1964014255655,0.6823386536939222,10.142877858999782
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_19_s0,19,CatBoost__seed_0__trial_19,60.73315293700034,2351.1805940732866,0.6949278534260368,1.8715161259988236,2328.2813789788834,0.6915725493265232,1.7127715149999858,2495.863762286262,0.684654928916905,13.59919040999921
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_2_s0,2,CatBoost__seed_0__trial_2,22.653271432999986,2588.0805713968234,0.6641894300196883,0.7895554839999477,2511.794941118994,0.6672625064571746,0.47812514899999314,2703.1939162832878,0.6584593716361777,5.218913939000004
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_20_s0,20,CatBoost__seed_0__trial_20,66.647741873001,2279.1719837977166,0.7042711685945743,2.206598982998912,2306.1672838065256,0.6945020036697747,2.332094938001319,2460.5769681787424,0.6891133119281385,18.064807586000825
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_21_s0,21,CatBoost__seed_0__trial_21,29.53773430399997,2543.1559884912344,0.6700185181703371,1.0391345410007489,2465.6449123265998,0.6733760010963784,0.8577326070007985,2658.5762105133435,0.6640966879874113,6.153843399000834
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_22_s0,22,CatBoost__seed_0__trial_22,41.9511837609989,2427.6416750686026,0.6850068179396918,1.4100874020004994,2370.519705050506,0.6859772379742934,1.386236213000302,2547.572509912841,0.6781216802106597,8.907311103999746
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_23_s0,23,CatBoost__seed_0__trial_23,70.62787166099952,2261.3697309851177,0.7065810598437119,2.0130294600021443,2311.82617184116,0.693752370731966,2.0246516769984737,2453.434983889811,0.6900156807101605,16.28803683300066
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_24_s0,24,CatBoost__seed_0__trial_24,37.81247590299972,2346.971426748196,0.6954740044594331,1.2636554349992366,2331.4785475819604,0.6911490203791532,1.3081792569973913,2491.2497398762803,0.685237897124882,8.46818162499767
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_25_s0,25,CatBoost__seed_0__trial_25,50.18718232500032,2316.9334458894496,0.6993715150642861,1.7020566489991324,2320.9974143116215,0.6925374561773028,1.5839732380009082,2481.7275704034164,0.6864409953286617,12.842364843003452
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_26_s0,26,CatBoost__seed_0__trial_26,43.905269131999376,2416.7220484835016,0.6864236695122592,1.3007694680018176,2361.332438835113,0.6871942751945607,1.5757055249996483,2537.316258498088,0.6794175275162309,9.335202139998728
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_27_s0,27,CatBoost__seed_0__trial_27,75.36581497700172,2288.687917066021,0.7030364500892694,2.799520696997206,2307.555265042818,0.6943181377856262,2.409462038001948,2462.18009753936,0.6889107612321357,21.03101848699953
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_28_s0,28,CatBoost__seed_0__trial_28,48.74361846099782,2361.1168553541747,0.6936385962054211,1.5344080920003762,2336.804516917639,0.6904434891837403,1.5178710389991465,2499.4425019914224,0.6842027656443079,10.817537937000452
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_29_s0,29,CatBoost__seed_0__trial_29,34.33405936800045,2432.627226282138,0.684359928962128,1.0159653419977985,2378.5898196405183,0.6849081898377096,1.0587128160004795,2556.5942836979393,0.6769818055353884,7.105612016002851
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_3_s0,3,CatBoost__seed_0__trial_3,49.18196257499994,2332.8851832296073,0.6973017332856286,1.6675241210000422,2318.4086197724596,0.6928803938081408,1.4707858740000574,2484.2662895812105,0.6861202356014369,11.340121550999811
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_4_s0,4,CatBoost__seed_0__trial_4,43.49337843700005,2356.997733007035,0.6941730636553526,1.5621363230002316,2333.1424929072946,0.6909285975301855,1.3447270699998626,2495.4893448352473,0.6847022354644374,10.843486831000064
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_5_s0,5,CatBoost__seed_0__trial_5,78.36651520300029,2250.4568166159356,0.7079970404878089,2.62064694899982,2313.6467754746914,0.693511195355808,2.575009329000295,2453.105424395421,0.6900573195863504,20.661677390000023
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_6_s0,6,CatBoost__seed_0__trial_6,36.86655572699965,2398.0018555696297,0.6888526660133828,1.100496571000349,2354.111860845657,0.6881507852116848,1.179809173999729,2527.592763479717,0.6806460626126078,7.773510541000178
