dataset_fold_id,dataset_name,target_type,alg_name,hparam_source,trial_number,alg_hparam_id,time__train,Log Loss__train,AUC__train,Accuracy__train,F1__train,time__val,Log Loss__val,AUC__val,Accuracy__val,F1__val,time__test,Log Loss__test,AUC__test,Accuracy__test,F1__test,time__train-eval
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,default,0,CatBoost__seed_0__trial_0,16.047771784,0.6151895201914195,0.9746428707512305,0.79,0.7901565072780323,0.008237393000001703,0.6826316665636561,0.9789629629629628,0.8,0.7991452991452991,0.009933067999998713,0.9009164473203597,0.948462962962963,0.7,0.6895204795204795,0.01541887500000172
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_1_s0,1,CatBoost__seed_0__trial_1,6.30519314899999,0.5503758513766561,0.9795819191598775,0.7925,0.79522306124698,0.010197129999994559,0.7508828129525468,0.9692962962962963,0.74,0.7325497835497836,0.00913415399999451,0.9959206012316844,0.9330061728395062,0.66,0.670901875901876,0.015466549999999302
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_10_s0,10,CatBoost__seed_0__trial_10,6.264777324999841,0.6939760856127993,0.9676858361108798,0.775,0.774142061497645,0.010620769999832191,0.653623415705571,0.972351851851852,0.8,0.8003418803418804,0.010396852999974726,0.7434476281927934,0.9635,0.74,0.7268538128538128,0.017985963999990418
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_11_s0,11,CatBoost__seed_0__trial_11,13.032322391000207,0.6991630890649944,0.9676812378630308,0.7775,0.7770868643559465,0.01026977300011822,0.6550047400115147,0.9719814814814816,0.82,0.8220085470085471,0.010353312999995978,0.7387901719864325,0.9647222222222223,0.72,0.7077022977022978,0.017413374000170734
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_12_s0,12,CatBoost__seed_0__trial_12,19.940956078,0.556290902321762,0.9795282534715822,0.7925,0.7951861730899347,0.006786473999909504,0.7483177283770976,0.9711481481481482,0.74,0.7325497835497836,0.009197866000022259,0.9899930896634784,0.9331913580246913,0.68,0.6872828282828283,0.015452367000079903
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_13_s0,13,CatBoost__seed_0__trial_13,10.38365578800017,0.6614273476399737,0.9706576290058602,0.7825,0.7819961695628649,0.00982715800000733,0.6640786007762141,0.9740185185185185,0.8,0.7991452991452991,0.010853941000050327,0.7797736759292009,0.9578333333333333,0.72,0.7077022977022978,0.016904444999909174
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_14_s0,14,CatBoost__seed_0__trial_14,34.647859255000185,0.6501158299827818,0.9723860137482332,0.7925,0.7921474738051869,0.009282192000000578,0.7691422950102357,0.9697777777777777,0.78,0.7803418803418803,0.009812714999952732,1.0150121305743247,0.9281604938271604,0.64,0.633944721944722,0.015908713999806423
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_15_s0,15,CatBoost__seed_0__trial_15,3.3877648580000823,0.6243878675204941,0.9741153588373664,0.785,0.7861771488208781,0.010092088999954285,0.6505868441693817,0.9753703703703703,0.78,0.7797619047619048,0.008961445999830175,0.7463119556792853,0.9667777777777778,0.78,0.7758624708624708,0.016242192000390787
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_16_s0,16,CatBoost__seed_0__trial_16,20.739669110999785,0.5990381340344606,0.9761459099440819,0.79,0.7901565072780323,0.00901251399955072,0.6844164259411595,0.9781481481481481,0.8,0.7991452991452991,0.00915730499991696,0.8969392303851733,0.9443148148148148,0.7,0.6895204795204795,0.018926618000023154
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_17_s0,17,CatBoost__seed_0__trial_17,7.978701422000086,0.588231496976433,0.9774037518591325,0.7925,0.7925475478562872,0.00895882899976641,0.6808392167738211,0.9798888888888888,0.8,0.7991452991452991,0.008923580999635305,0.8803676044044861,0.9457407407407407,0.7,0.683035631035631,0.015102404999652208
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_18_s0,18,CatBoost__seed_0__trial_18,20.916078094000113,0.6162167925815979,0.9744863476596739,0.79,0.7901565072780323,0.01114434800001618,0.688015186877755,0.9777037037037037,0.8,0.7991452991452991,0.009985261999645445,0.9126008541496993,0.9473518518518518,0.7,0.6895204795204795,0.01848149499983265
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_19_s0,19,CatBoost__seed_0__trial_19,21.473487656999623,0.5560079007258774,0.9795251525240677,0.7925,0.794067880427253,0.009413922000021557,0.7483863728879134,0.9717037037037037,0.76,0.7542063492063492,0.008959328999935678,0.9902247536259392,0.9341172839506173,0.66,0.6674786324786325,0.015890932999809593
